0.0,沐阳主题影院
"125.312973,43.813213",明珠水上乐园
"116.799614,39.948658",体美汇游泳健身会所（福成五期店）
0.0,绿洲社区温泉
"104.611073,28.765561",翠屏山军事游乐园
0.0,车河口水世界
"114.504844,37.070589",邢台玉泉山拓展培训基地
0.0,派啊音乐公园
"114.755768,36.430426",邯郸三信农业采摘园
0.0,热河温泉
0.0,甘露禅院
0.0,永年古城
"110.291573,25.391550",盘古庙
0.0,水尚洗浴
"125.778908,42.064323",新世纪水上乐园
"119.483490,40.046673",金龙温泉度假村
"114.718500,41.147929",张北坝上草原一家人农家院
"109.518616,34.510052",人民公园9D影院
"105.728859,29.262627",宝峰禅寺
"114.029526,22.539707",奇贝尔水上乐园
"121.154663,41.127441",康宁湖水上乐园
"117.500558,40.417358",国家天文台兴隆站
"114.090599,22.546400",嘉年华公主号、王子号游船
"114.534188,38.042049",石家庄市裕彤国际体育中心
"118.461324,39.276258",曹妃甸湿地国际高尔夫球会
"115.120650,38.976627",顺平凤凰山佛光寺
0.0,身临奇境立体互动影院
"116.448578,41.358044",孤石军马场
0.0,热河都统署
0.0,新戴河
"113.895775,29.718893",众诚国际高尔夫俱乐部
0.0,X-真人密室逃脱
"120.954094,40.704205",望海寺
0.0,观景木栈道
"118.483810,25.039646",康美游泳健身会所
"114.481796,38.036058",河北省艺术中心
0.0,蓝心岛洗浴会所
0.0,龄希水上乐园
"116.998895,39.754869",香河华夏星光国际影城
0.0,慈安慈禧陵
"121.501160,25.125759",奇岩峡景区
0.0,汉墓群
0.0,亚滦湾农业公园
"118.388710,35.032694",滹沱河东海动漫水上乐园
"111.708694,40.825588",机械林场
"118.189313,39.582488",唐山南湖国际高尔夫俱乐部
"121.381012,31.179230",天鹅湖亮子游乐场
"125.312973,43.813213",乐模机器人中心（明珠店）
0.0,木棉花酒店温泉
0.0,圣火玫瑰园
"117.220917,36.036839",望山农庄戏水乐园
"117.982910,40.315033",大厂薰衣草庄园
"114.958588,39.478230",乌龙沟长城
0.0,宜采庄园
"119.647614,32.300255",国玉陶瓷文化园
"116.707525,39.522097",廊坊大歌星KTV
"116.723627,39.523939",廊坊儿童乐园
0.0,梳妆楼元墓
0.0,金农庄园
"117.847025,40.978712",承德市双滦区元宝山风景区
"108.736099,39.830570",塞罕坝滑雪场
"111.380014,29.584293",石门烽火真人CS平山西柏坡温塘基地
"114.228302,22.690998",博纳国际影城
"116.372002,39.848400",未来游戏—女皇盛典动漫游戏嘉年华
0.0,优农庄园
0.0,东风公园心空气全民健身广场
"116.653724,39.544284",廊坊长征农业主题乐园
0.0,多维玫瑰采摘园
0.0,圣诞老人小镇
"114.549101,37.413124",邢台丰乐园
0.0,定州博物馆
0.0,谛音寺
0.0,101真人密室逃脱俱乐部
0.0,熊哆哆冰雪嘉年华
"114.468664,38.037057",河北天台山景区
0.0,雨国际游泳馆
0.0,伏羲台
"113.845146,23.466513",极地冰雪大世界
"114.513672,35.104229",野城
"114.207094,38.255970",平山拦道石漂流
"116.560997,39.750500",神龙汗蒸馆
"117.212837,39.143307",东尚甜蜜蜜蛋糕店
"120.872192,29.567659",花田草海薰衣草庄园
0.0,艾米的奇幻王国儿童游乐场
0.0,悬阳洞
0.0,九龙峪冰雪嘉年华
"118.152128,39.606529",唐山南湖国际啤酒节
0.0,奥游梦乐园
"113.166466,27.850957",荷塘水乡度假村
"130.420822,46.915367",凯歌真人CS俱乐部
"113.598289,34.824974",石佛国家森林公园
"117.888917,24.518083",东山旅游码头
0.0,怀来紫晶庄园
0.0,爱淘器陶艺
0.0,龙潭峡谷风景区
"121.093391,31.232121",小天池景区
"114.399086,30.499928",尚谷农庄
0.0,激情夏日水上乐园
"108.870461,24.441242",朋友圈羽毛球馆
"118.101961,39.596264",唐山诸葛八卦迷宫
0.0,重返侏罗纪恐龙展
0.0,九景山庄
"119.426903,39.793015",南戴河森林国际高尔夫俱乐部
"116.274052,39.456865",固安动漫水世界
0.0,温泉城环山谷漂流
0.0,鑫尚假日酒店
"115.025192,33.905422",人祖庙
"116.146896,41.355755",东猴顶
"128.789124,42.250206",百里峡山野雅居
0.0,天善冰雪王国
"118.180193,39.630867",唐山魔幻3D画展
0.0,鹰角亭
"119.550298,39.907689",秦皇岛奥体中心体育场
0.0,安远庙
0.0,悠悠乐儿童DIY蛋糕
"110.420654,21.203180",海滨休疗旅游区
"118.986700,39.177179",乐亭祥云湾
"110.291229,28.336260",盘古村自然公园
0.0,飞驰帆船俱乐部
0.0,唐宋古城
"114.199134,38.247144",平山县老虎头漂流
0.0,攀岩时代
0.0,封神演义宫
"115.517862,40.415343",怀来温泉真人CS基地
0.0,乱刀峪
"118.748657,32.089001",黄土山游乐园
0.0,海逸陶社
0.0,历代长城
0.0,洪山口关
0.0,浴仙宫
"114.065971,37.770382",张河湾水库
0.0,天子冢
"108.099998,24.018303",古长城
0.0,滦河源头漂流
"106.686874,24.517439",海乐儿童剧场
0.0,涞源天宏巨幕汽车影城
0.0,四个火枪手（保定万博广场店）
0.0,九龙温泉商务酒店
"114.642380,42.242050",腰带山
"119.576707,39.972301",秦皇岛哈皮小孩（兴龙广缘和月大街店）
"115.797829,41.703960",闪电河草原漂流
"115.041725,39.207870",蝎子沟国家森林公园
"116.839681,38.273006",沧州绿博园
0.0,香远益清
0.0,新城铺商代遗址
"120.272522,32.032177",真武殿
"117.500558,40.417358",承德兴隆天桥峪高山滑水景区
0.0,龙泉水世界
"110.689270,33.252476",大悲寺动漫水乐园
"111.589813,36.240715",白石山房车营地公园
"120.845451,30.422064",潘家口水库
"120.918159,30.703384",西洋仰韶文化遗址
"114.090599,22.546400",海森冰雪灯会嘉年华
"116.185875,34.667175",华堂国际高尔夫球场
0.0,林山石窟
"116.396112,39.145372",霸州市名泉水上乐园
0.0,冀东烈士陵园
0.0,ZT真人密室逃脱
"119.774544,31.357899",五毛富硒葡萄庄园
0.0,八仙阁
"113.682495,23.103859",文庙大成殿
"102.663320,24.968607",西山射箭场
"123.179367,39.074451",海洋动漫水乐园
"106.607635,31.218426",安固里草原
0.0,兴海湖
0.0,身临其境7D互动影院
"112.494995,28.028336",福林寺
0.0,莫州扁鹊庙
"107.023323,33.067480",汉中山王墓
"116.746933,38.347301",杜林桥
0.0,冰雕大世界
0.0,歧口炮台
0.0,永福寺
"110.138611,23.743721",农福缘采摘园
0.0,赶海区
"107.766614,32.983101",西乡故城遗址
0.0,曹雪芹祖籍文物展览厅
"106.746025,36.063156",第二届滹沱河国际马戏嘉年华
0.0,兴隆隆昌漂流
"96.654648,31.889992",功夫熊猫沙滩冰雪嘉年华
"113.609810,38.131767",仙人塔景区
"115.821991,32.917282",紫园休闲生态园
0.0,冒险小镇儿童多元智能拓展乐园
"114.568344,22.496620",大围河清真寺
"114.551728,40.816425",张家口杏花沟生态旅游区
"107.845993,24.203926",龙行绿野游乐场
"116.254829,39.986134",北坞清真寺
"116.657906,39.146015",信安清真寺
"114.145240,38.032148",井陉窑遗址
0.0,中华戏曲城
0.0,长城狩猎场
0.0,春雨儿童水上乐园
"107.227074,28.353300",天江水上乐园
0.0,海留图游乐园
0.0,百态瀑布群
0.0,广惠寺华塔
0.0,欢乐战城
"114.011459,38.331718",岗南水库
0.0,融竔百草园
0.0,梦幻水上乐园
0.0,永清宋辽古战场
0.0,雨花谷生态观光园
"119.400330,40.087833",背牛顶
0.0,唐代钟楼
0.0,6789海洋音乐节
"114.489677,38.045485",石家庄解放纪念碑
"81.322815,43.168861",米斯王国
0.0,车友来汽车运动文化公园
"118.101871,39.596308",唐山4D智慧科技馆
0.0,U哈主题乐园（东胜店）
"109.627396,28.498775",金落凌富硒梨采摘园
"118.088500,39.560318",丰南庙会欢乐冰雪嘉年华
"114.899574,37.297222",滏阳河游船
0.0,穿云箭馆
"103.395409,23.344173",新世纪步行街
"116.407526,39.904030",北京大宗高尔夫
"114.627542,38.034641",石家庄弘谷酒店二人转大舞台
0.0,《勒泰之夜》演出
"117.985039,41.049618",承德国际马戏嘉年华
"114.470523,38.040421",河北会堂
"118.160789,32.123230",大韩寨清真寺
"114.053627,32.326061",皮庄子旧址
0.0,广旺农庄滑雪场
"111.725243,22.927626",西郊水上乐园
0.0,精英剧场
"115.650378,37.646526",衡水湖首届冰雪文化嘉年华
"116.386741,37.640509",吴桥杂技民俗风情园
"120.222816,31.828707",秦皇国际大酒店游泳馆
"117.962410,40.954071",承德金山
0.0,青龙观
0.0,胖龙海棠园
"119.572954,39.911620",秦皇岛星聚点游艇俱乐部
0.0,鸣霜楼
0.0,燕郊奇门密室
"131.415894,45.192238",兴民采摘园
0.0,银谷儿童娱乐城
"129.242935,44.328796",海浪屿农业生态园
"121.042534,30.803890",大乘玉佛寺
0.0,桐柏清真寺
0.0,金华寺森林公园
0.0,赵邯郸故城
0.0,凯盛国宾温泉
"115.817551,41.650314",闪电河水库
0.0,领航拓展及真人CS
"116.649002,23.663174",开元寺
"114.203568,22.469961",蕉林书屋
"108.985062,34.223534",八一军旅俱乐部
0.0,朝阳庵
"114.515096,38.046462",石家庄人民会堂
0.0,海之蓝温泉度假村
0.0,金无怠的密室逃脱
0.0,天砚山
"118.881638,39.161102",捞鱼尖
"120.626167,31.312403",三清殿
0.0,白求恩墓
0.0,唐代风动碑
"119.022636,33.894161",洪崖山索道
"119.534125,39.817000",北戴河魔马音乐节
"114.392761,39.161694",大清猎苑
"113.400002,22.513140",童梦园（远洋城店）
"77.555069,37.861023",洛克王国游乐园
0.0,万壑松风
0.0,义慈惠石柱
0.0,织女山生态风景区
"118.491620,40.608995",承德皇家王府堂会
0.0,珠源寺
0.0,俊鹏游泳馆
0.0,第二届冀州冰雪嘉年华
0.0,邢襄古镇WEM西部国际电音节
0.0,奇幻迪士尼
"119.298905,42.304629",元宝山真人cs
0.0,天宫寺塔
0.0,纪晓岚墓
0.0,天马山石刻
0.0,奔跑吧•企鹅
0.0,傍水崖禅文化景区
0.0,透雕石牌楼
"104.025261,29.753197",大佛禅寺
"114.302406,38.070332",众诚假日酒店
"116.631653,40.368965",东宫
"118.875550,39.391091",乐亭祥瑞生态园
"106.914925,31.396736",夹墙沟
"118.434334,39.739933",北寺公园
0.0,山云佛寺
"114.742212,36.699653",亚欧国际大马戏中国巡演--邯郸站
"119.195068,39.696129",秦皇岛昌黎葡萄沟凤凰酒庄
0.0,神龙湖度假村梦幻灯光节
"115.038345,38.993855",峰泉景区
"114.768967,26.693649",海上运动场
"118.321869,36.812634",勇士滑雪场
"112.979667,34.373911",金中原旅游惠民一卡通
"114.008476,34.360905",大马游泳健身馆
"116.112138,39.534704",涿州东京都高尔夫
0.0,ACG动漫游戏嘉年华
"114.756800,36.720941",邯郸7477俱乐部
"117.962410,40.954071",河北承德圣博兰汗蒸会馆
"113.953990,36.889030",武安国家地质公园
0.0,天护陀罗尼经幢
0.0,研山水世界
"114.386726,37.797367",蟠龙寺
0.0,纸糊套景区
0.0,莫莉幻想（新华道店）
0.0,韩沐汗蒸
0.0,聚满合梦幻水上乐园
0.0,东天门
0.0,普祥峪定东陵
"103.004219,23.198431",尼克儿童乐园
0.0,雅森高尔夫俱乐部
"116.612322,38.177281",沧州文庙
"89.567642,29.119825",白雪游泳馆
0.0,伊祁山风景区
0.0,白求恩战地医院旧址
"114.700836,23.749298",文明中华园
"120.491135,31.315298",龙池山庄山泉水上乐园
"112.788200,37.897400",欢乐水魔方水上乐园
0.0,天羽射箭俱乐部
0.0,秀才观榜
0.0,溥仁寺
"119.544671,39.898350",秦皇岛冰世界
"110.030151,40.596645",清真西寺
0.0,第三届海峡两岸三地“十大华语电影”表彰典礼
0.0,同赢替替战士基地
0.0,健硕户外奔跑团
"114.583901,38.151725",正定文庙
"108.099998,24.018303",古长城
0.0,七女山
"102.375984,23.577265",罗汉山
0.0,周窝音乐中国年
0.0,鲜一方羽毛球馆
"117.971222,36.817429",于小葵DIY生活馆
0.0,冰雕冰雪嘉年华
0.0,倒马关
0.0,郛堤城
0.0,菩提林
"124.923225,43.854015",永发诚信蓄牧生态园
0.0,淘气城
0.0,月亮湾温泉山庄
0.0,灵官阁
"116.004364,38.914837",王家寨民俗村
"114.011161,41.101942",尚义鸳鸯湖国际露营公园
0.0,海澜福源温泉
0.0,凉城
"116.230347,40.310162",裕陵妃园寝
0.0,生态之都高效蔬菜观光园
"116.366852,37.973049",大白鲨水世界
0.0,哇阿世界
0.0,红石谷冰峰
"119.334969,32.619846",鸳鸯树
0.0,唐代石刻道德经幢
0.0,大雁岛
0.0,好奇岛儿童乐园
"120.430588,30.463581",园区大型水山戏水乐园
0.0,龙凤山
"84.332649,44.417049",百泉戏雪乐园
"116.326302,39.330292",南房上水上乐园
0.0,梦泽湖
0.0,真武阁
0.0,曲阳桥乡
"114.998990,38.534961",保定城市规划展览馆
"119.344910,27.071648",七步沟侏罗纪公园
"120.803993,28.794945",爱贝贝儿童乐园
0.0,晋察冀边区革命纪念馆
"113.391739,28.216736",圆通寺景区
0.0,麻粒古岩
"116.708855,38.042061",南皮石金刚
"120.301552,36.063408",台西商代遗址
0.0,吴禄贞墓
0.0,甘泉寺
"115.126297,39.906715",美吉乐儿童主题乐园
0.0,木木木保龄球会所
0.0,碧海温泉
0.0,麦幼优MYOYO儿童乐园
"114.012886,22.732250",淘宝宝儿童乐园
0.0,重门锁翠
0.0,小客龙山文化遗址
0.0,虚云禅寺
0.0,船说酒吧
0.0,垠晓庄园
"123.383786,41.820536",皇姑坟
0.0,无暑清凉
0.0,潘多拉真人密室逃脱
0.0,连兴社
"119.573210,39.947329",秦皇岛海之蓝剧场
0.0,冰雪文化艺术节
"116.418868,39.109467",霸州市月儿湾水上乐园
"118.849533,39.423260",乐亭丞起温泉水世界
0.0,赵王陵
0.0,帕乐菲尔游乐园
"120.378204,36.087635",童梦园（万达店）
0.0,奇幻地带
0.0,春好轩
"117.217316,34.251373",竹林寺
"118.596626,39.759014",雷庄站
0.0,第十五届中国吴桥国际杂技艺术节
"117.334142,40.942741",平泉欢乐谷冰雪灯会嘉年华
0.0,宜采庄园真人CS
"90.311310,31.355249",乐达水上乐园
"114.531703,38.042766",河北省体育馆
0.0,幽燕秦皇
0.0,好梦林水创意生活微度假体验区
0.0,豆豆博士（空中花园店）
0.0,贝儿好游乐场
0.0,鹊山祠
0.0,燕山陵塔
"121.495567,22.666233",绿岛孕婴馆
0.0,上下天光
"118.147598,32.023251",西武未来星儿童城
"115.568551,38.876635",保定挪亚健身
"117.365952,24.619476",顶点游泳健身
"114.014778,22.432049",唐人大舞台
"120.222816,31.828707",秦皇古道CS
"116.483561,38.892558",文安洼
"121.299950,30.732100",金山水游泳馆
"81.026310,44.972447",通泰温泉大酒店
"114.718500,41.147929",张北天鹅湖游牧人家游乐场
0.0,丽正门
0.0,五色芦苇区
0.0,吕祖殿
0.0,龙壶湾冰雪嘉年华
"128.756042,43.681385",雁鸣湖跑马场
0.0,赵王欢乐谷灯光节
"115.442245,39.690765",野三坡金桥宾馆
"114.538961,36.625657",邯郸保利大剧院
0.0,守拙手工体验中心
0.0,利年农家院
"115.061992,40.611391",宣化水上乐园
"103.106018,24.685247",老沟庄园
"116.309845,39.947720",万寿寺
0.0,战国城
0.0,剑豁岩
0.0,河北科技师范学院
"118.181406,39.627007",嘉文梦幻王国（唐山店）
"115.826600,40.355300",怀来县东花园海亮骑士俱乐部
"120.579002,27.652874",魁星阁
0.0,广缘寺
"116.804306,38.583021",奇乐屿沧州青县店
"108.011765,28.742764",快乐魔方儿童拓展中心
0.0,白鹿缘泉
"117.868175,40.982012",承德林雪山庄
0.0,帕乐菲尔儿童游乐园
0.0,乐悠游婴童生活馆
0.0,兴阳山风景区
"116.510117,39.459629",安育清真寺
0.0,学步桥
0.0,白求恩柯棣华纪念馆
0.0,万顷桃源农庄
0.0,永定河峡谷漂流
0.0,海浴场
0.0,真人CS对抗
0.0,青龙潭
"116.906021,35.133858",闾里古镇孙敬学堂
0.0,水木迷城真人密室逃脱
"120.222816,31.828707",秦皇行宫遗址
"110.029030,37.837421",毗卢寺
0.0,清真北大寺
"119.174750,39.715929",昌黎茅台酒洞
"114.499277,37.062252",邢台波比龙儿童乐园
0.0,福莱岛汤泉生态养生城
"116.838834,38.304477",河北沧州东奥冰雪乐园
0.0,滦州古城景区地方戏剧场
"114.486443,36.600616",晋冀鲁豫烈士陵园
"116.154518,30.448278",斑马卡丁车俱乐部
0.0,天台山
0.0,桃林湖
0.0,泽普生态园
"114.180864,36.686989",武安体育中心
"114.891891,40.796951",容辰庄园
"120.845451,30.422064",潘家峪惨案纪念馆
"115.192650,36.287464",石刻博物馆
"117.466515,38.834167",迎宾生态园
0.0,御碑苑
"119.676819,31.499640",都山
"112.741318,38.726009",旧城文化展览馆
"113.903587,34.041271",邓庄农业科技示范园
0.0,世外陶园
"119.757437,39.986375",山海关香之园樱桃采摘中心
0.0,幻觉森林3D魔幻馆
"113.036530,40.549683",坝上草原秀源庄园
"119.418999,39.793205",环游世界宫
"119.534125,39.817000",北戴河公主号游船
"118.843341,40.173130",迁安市冷口东河漂流
0.0,临济寺澄灵塔
"113.667198,34.796829",万博文化城
"116.899216,36.933586",京西草原帐篷公园
"119.600492,39.935385",秦皇岛传奇密室
0.0,冰世界体育乐园
"109.419273,24.310534",水上世界乐园
0.0,坝上汤温泉城
"114.349327,37.182012",邢台玉泉山滑雪场
0.0,玉琴轩
0.0,官厅湖
0.0,战山海
0.0,微世界鲜活景观DIY
"118.138885,42.674122",红松洼
"125.352837,40.838993",腰带山野外训练基地
0.0,源影寺塔
"116.965874,45.521667",白音庄园
"112.788200,37.897400",御菲苑欢乐水世界
"103.332001,31.956596",热河文庙
0.0,乐之翼儿童乐园
"114.391121,36.374207",磁州窑博物馆
"116.532814,30.503151",太子湖
0.0,长城号游船东山旅游码头
0.0,乐模机器人中心（桥东店）
0.0,依一乐园
0.0,猫和老鼠
0.0,孝东陵
"119.479156,31.390280",燕山
0.0,雾灵日出
0.0,伏羲文化城
0.0,永定河峡谷
"114.029526,22.539707",薰衣草沙滩水上乐园
"126.553960,43.899955",龙潭景区
0.0,古崖口漂流
"118.121582,39.624264",皇家国际马戏全球巡演（唐山站）
"105.204857,37.514206",开发区体育中心
0.0,梦幻童年儿童主题世界
"117.627296,39.919178",孤树镇
"117.999878,37.420078",渤海国际会议中心
"113.578110,22.786905",曹妃湖体育公园高尔夫球会
0.0,华夏爱婴
0.0,格林童话冒险王
0.0,苍岩宫
"117.339607,38.365738",农业产业化花卉基地
0.0,河北建材职业技术学院
0.0,龙泉古寺
"125.585579,49.680237",金石文化传媒公司
"115.573082,40.253220",官厅水库渔民岛露营基地
"118.213416,39.666784",唐山陶瓷陈列厅
"119.388542,39.764187",秦皇岛航海基地
"119.195068,39.696129",昌黎人家家庭农场
"114.175064,30.507517",芭贝乐创意园（金街店）
"113.269562,27.543884",爱吾庐
"119.757437,39.986375",山海关金洁湾浴池
0.0,福荫严疆殿
0.0,龙岩寺
"113.874336,29.215195",蛤蟆石
0.0,极地冰世界滑冰场
0.0,游泳健身会所
"113.998924,22.947773",黄金海岸高尔夫球会
0.0,赵蔡庄村
"114.468664,38.037057",河北旅游一卡通
0.0,摩尼殿
"114.048721,37.476219",冻凌背景区
"113.392782,22.517645",中山故都
"107.789680,30.667421",人民广场
0.0,洪习庄园
0.0,风电主题公园
"106.686874,24.517439",海乐动漫水世界
0.0,光阴的故事酒吧
"119.600492,39.935385",秦皇岛塑银工坊工作室
"114.457924,22.793091",号外美食轰趴馆
0.0,亲亲鱼疗馆
0.0,王氏推拿馆
0.0,碧涧灵檀
0.0,三祖堂
"117.937886,40.974411",家宝贝儿童欢乐谷（承德商城店）
0.0,童戏驼峰
0.0,金阁山
0.0,星星密室
0.0,老地方休闲桌游吧
"119.604553,39.932426",秦皇岛优士健身
"119.591420,39.948698",秦皇岛星星跆拳道俱乐部
"114.895142,40.787766",蓝鲸大厦洗浴中心
"116.594292,38.073902",泊头首届冰雪嘉年华
"118.093567,25.180996",中都草原飞行梦游乐场
"96.654648,31.889992",功夫熊猫海滩冰雪嘉年华
"125.506195,44.314594",福来岛汤泉养生景区
0.0,如意湖亭
"114.816879,37.953529",南营清真寺
0.0,野风寨
0.0,玄门
"109.494881,25.306791",弯道山真人CS
"126.623466,45.738941",通达城真人cs体验馆
0.0,众诚游泳馆
"117.456657,42.326965",塞罕塔
0.0,勒泰欧悦真冰场
"119.961411,31.761263",清凉界景区
0.0,望海长廊
0.0,供宗喀巴
0.0,隐凤山
"115.015602,38.025616",魏征公园
"103.415680,30.418142",幽居寺塔
"115.490845,38.856899",淮军公所
"128.627457,42.530666",老岭
0.0,聚点桌游
"119.600492,39.935385",秦皇岛松石滩高尔夫俱乐部
"116.838081,38.306452",沧州市体育馆
"117.962410,40.954071",承德《满秀》大型光影实景演出
0.0,般若相
"116.498207,39.144146",后两间清真寺
0.0,太虚幻境
0.0,大观圣作之碑
"113.455429,37.516808",西寨遗址
"75.717590,39.742817",牧场乐园
0.0,野墨斋画廊
0.0,TT战士野战基地
0.0,永济桥
0.0,泰丰湖
"114.029526,22.539707",新京东水上乐园
0.0,禅果寺
0.0,拒马河源头
0.0,张氏祖庭
"114.687271,40.259468",泥河湾小长梁
0.0,党支部纪念馆
0.0,中国长城葡萄酒景区
"108.926895,32.112000",漳河旅游度假区
"104.321091,30.820947",金牛洞旅游度假村
0.0,小龙泉度假村
"114.768967,30.850685",药王庙
0.0,庄络亲子农场
"114.514859,38.042306",石家庄汇春园博园新春游园会
"103.050499,36.515022",七山滑雪度假区
0.0,富祥温泉庄园
0.0,滦河源头界河游乐场
"114.870613,41.405861",张北卓绅旅游度假村
"90.990097,31.280479",热度健身馆
"127.158485,44.922165",诚信大厦保龄球馆
0.0,吾月相声俱乐部
0.0,棋盘山绿色庄园
0.0,天善农业观光园
0.0,绿泉水上乐园
"117.029106,36.012310",漕河
0.0,野山寨
0.0,李少春大剧院
0.0,兴瑭明星音乐节
0.0,迈宝游泳健身
0.0,清爽水上乐园
"111.462151,27.235107",宝贝爱儿童乐园
"112.788200,37.897400",欢乐堡儿童主题乐园
"105.606360,34.308670",花满天水上乐园
"117.370918,25.971857",燕东滑雪场
"116.683752,39.538047",廊坊匹特博真人cs
0.0,张计天主教堂
"111.823761,35.229694",马丁酒庄
"113.588669,37.865417",快乐宝贝儿童乐园（北国超市翟营店）
"117.591749,38.174155",海兴小山
"115.464806,38.873891",保定体育戏水乐园
0.0,祟陵
0.0,宋祖题诗处
"116.510002,39.798801",艾力枫社高尔夫球会
0.0,2018MTA天漠音乐节
0.0,白洋淀温泉城
0.0,和平森林公园
0.0,金海温泉会议中心
"117.676178,37.323097",君乐宝（小刘奶站店）
0.0,军姐田园
"117.157242,36.164988",泰山行宫
"114.460052,38.037640",南小街清真寺
0.0,通天洞
0.0,极光真人CS拓展基地
0.0,拦道石七彩丽水洞
"105.594299,30.463551",开善寺
"114.511707,38.035951",石家庄河北大戏院
0.0,中国尚义首届国际冰雪漂移嘉年华
"116.408424,39.997452",海澜动漫水世界
0.0,卢生殿
"116.651207,41.209904",丰宁盛迪民俗游乐园
0.0,永佑寺
"116.836845,39.932148",燕郊家和足疗城
0.0,张宗禹墓
"110.916641,21.702257",新坡广场
0.0,动物植物王国
"114.449871,38.008260",雅客e家快捷酒店(石家庄省二院店)
0.0,星乐乐综合体验馆
"126.767570,47.308777",农耕园
0.0,零度KTV
"111.618622,21.743284",葵园小镇
0.0,丞起颐天园九六温泉
"114.718500,41.147929",张北卓绅草原音乐节
0.0,嘟嘟童年游乐园
0.0,梦幻岛儿童乐园
"113.667198,34.796829",万博梦幻世界
"120.153954,27.164612",金刚亭
"114.114632,36.578629",磁山文化遗址
"112.476860,23.048264",荣盛冰雪嘉年华
0.0,康益泉温泉
"119.314994,39.697510",秦皇岛盛华温泉度假村
0.0,睡石瀑
"115.801483,41.046463",云州水库
0.0,万潞温泉水世界
0.0,亲贝母婴儿童乐园
"114.170883,35.923672",元泉宾馆
0.0,碧霞山
0.0,体美羽毛球俱乐部
"117.989891,39.821602",福庆寺
0.0,青莲岛
"120.622246,31.311415",沧浪屿
"104.876633,30.678116",观音寨
0.0,远瀛观
"116.845525,38.321057",运河唐人街冰雪冰雕嘉年华
0.0,桥楼殿
0.0,迈动健身
"114.277122,22.693094",水一方垂钓园
"116.794792,39.933979",燕达国际健康城
"120.578453,30.122992",国庆跑马场
"116.457858,38.873281",文安古城墙
"116.608093,39.375069",北钊清真寺
"115.217812,38.189875",河北泰和温泉
0.0,畅达影城
"127.158485,44.922165",诚信健身俱乐部
"114.178917,22.271983",湾仔城水上乐园
0.0,欧悦真冰场
"114.583641,39.843517",蔚州风情
"114.077003,22.581291",银湖水上乐园
0.0,福禧水上乐园
"116.066756,38.441614",河间市壹號水上乐园
0.0,中国名梦馆
0.0,英武山拓展培训基地
"119.135625,28.073954",龙泉农场
"116.723152,23.372443",龙湖画舫船
"117.334142,40.942741",承德畅达冰雪文化嘉年华
0.0,乐比益智儿童乐园
0.0,金思猫儿童职业体验城
"118.448382,39.711105",唐山君越南湖冰雪嘉年华
0.0,豆豆博士（红旗大街店）
"114.216110,38.715137",南寺头清真寺
"115.863396,41.648418",三旗公社
"113.699528,34.759219",金水湾游乐园
"113.999909,41.085009",尚义森林公园
"114.134526,36.654066",武安太祖山
"106.941345,29.028191",丛林乐乐探险乐园
0.0,乐淘淘儿童城
0.0,朝阳观
"118.889885,27.374432",南庄头遗址
0.0,金盛万豪水汇
"112.788200,37.897400",欢乐宝岛乐园
"116.838834,38.304477",沧州齐堤
"113.272636,22.762144",文津阁
0.0,生态园冰雪嘉年华
0.0,双虹映月
"119.424643,39.862247",秦皇岛手工艺术研究会
"117.010338,36.679806",荷香缘生态农场
0.0,裕龙温泉
"108.793884,36.821308",驼梁凉界艺苑
0.0,平原区
0.0,松鹤斋
0.0,砚台瀑
0.0,渔人乐园
"114.487289,36.621236",邯郸玉皇阁
0.0,澹泊敬诚殿
"116.602119,39.613384",伊指挥营清真寺
0.0,文景游泳馆
"117.962410,40.954071",承德联玉生态游泳馆
"120.451430,41.575186",朝阳小区儿童乐园
"95.065514,31.680180",波比龙儿童主题乐园
0.0,豆豆博士（中山西路店）
0.0,思菩兰天天羽毛球馆
0.0,斗硕生态园区
0.0,东杉梦幻灯光节
0.0,御乐动物园
0.0,勇硕乔氏桌球会馆
0.0,魔幻人泡泡秀-3D泡泡归来
0.0,海天水会
0.0,中国吴桥江湖文化节
"121.472054,24.956739",将军岭
"112.773613,37.847870",龙王庙
"114.557930,38.054532",雅客e家快捷酒店（石家庄和平东路店）
0.0,圣清乒乓球俱乐部
"116.708408,39.524970",廊坊乐康游泳馆
0.0,京津冀航模大赛
"121.437889,31.097242",北曹家务清真寺
0.0,天物坊陶艺馆（唐山店）
0.0,洛娅东方舞工作室
0.0,蓝鲸鸣海大酒店（崇礼店）
"114.718500,41.147929",张北草原冰雪季
"113.295479,23.079401",盛世丽都音乐会所
0.0,绿帅庄园
"87.529518,43.880089",聚鑫园农家园
0.0,萌奇奇儿童乐园
0.0,金阙宫
"120.469860,41.584560",双塔
0.0,TT战士野战基地
"102.468254,27.800999",尼莫水上乐园
0.0,殖民地轰趴馆
0.0,庆化寺花塔
0.0,庆云文庙
"115.699188,38.736511",芦庄清真寺
0.0,水心榭
"114.008476,34.360905",大马庄清真寺
0.0,大狐顶楼小狐顶楼
"114.449871,38.008260",雅客e家快捷酒店（石家庄新火车站店）
0.0,探梦乐园
0.0,弘济桥
"114.433701,38.763222",王快水库
0.0,海螺湾别墅轰趴馆
0.0,陶情苑工作室
"107.665802,31.059839",大风车游乐园
0.0,狐狸帐篷营地
0.0,压龟石
"104.437317,29.260479",古文物景区
0.0,登天梯
0.0,卢生石雕睡像
